,bot,bot_rank,user,user_rank,user_color,winner,outcome,ranked
24613782,katrain-10k,8.505265134140828,jacobusvandermerwe,9.823756910253714,black,white,Resignation,True
24618095,katrain-10k,7.248655543144885,FreeStoneGB,8.84590179350366,black,white,16.5 points,True
24595809,katrain-2d,-3.3235242667182803,argen1204,-3.9977750153819045,black,white,2.5 points,True
24614763,katrain-2k,-0.1739081163779801,a36636,3.4007898193999146,black,black,7.5 points,False
24652743,katrain-local,4.150765397409149,HeyHeyTaeTae,8.599289992498967,black,white,6.5 points,True
24677620,katrain-18k,18.94112970379901,dddmm,20.94247079461745,black,black,27.5 points,True
24605299,katrain-6k,6.350236111610151,buttoXXX,8.150408781783508,black,white,22.5 points,False
24647662,katrain-balanced,10.832802498367567,GoNono,9.941623954199216,black,white,30.5 points,True
24638667,katrain-10k,8.271456064398837,jacobusvandermerwe,9.250275226303721,black,black,87.5 points,True
24596123,katrain-2d,-3.6232561274547095,argen1204,-3.76631871395724,black,black,4.5 points,True
24608927,katrain-14k,14.981585511593124,freeyoshua,20.013481338102572,black,white,8.5 points,True
24615058,katrain-2k,-0.1739081163779801,a36636,3.4007898193999146,black,black,53.5 points,False
24613981,katrain-2d,-3.606590361618416,higcdde,5.228313244090796,black,white,Resignation,True
24599369,katrain-10k,9.784335639280993,Delan,13.723035285473042,black,white,8.5 points,True
24667661,katrain-dev,8.046855712775436,GoNono,9.97476546987016,black,white,Timeout,True
24596907,katrain-2d,-3.4036253681581385,argen1204,-3.994183592822125,black,black,53.5 points,True
24602010,katrain-10k,9.666806683834192,Byrdy,9.635239651693297,black,black,105.5 points,True
24639226,katrain-10k,8.416304681070063,jacobusvandermerwe,9.093077325476951,black,white,29.5 points,True
24614118,katrain-2d,-3.6231355401909937,higcdde,5.262278867522106,black,white,Resignation,True
24615403,katrain-2k,-0.1739081163779801,a36636,3.4007898193999146,black,white,Resignation,False
24611188,katrain-14k,14.561203017734806,freeyoshua,20.290231714841838,black,white,54.5 points,True
24649671,katrain-10k,10.819697941107563,Delan,13.36193448589108,black,white,36.5 points,True
24640587,katrain-10k,9.547987953300186,GoNono,10.33054726929613,black,white,Timeout,True
24614225,katrain-2d,-3.63930447792621,higcdde,5.293135454212404,black,white,Resignation,True
24639392,katrain-10k,8.21468214432354,jacobusvandermerwe,9.383241348233774,black,black,97.5 points,True
24677915,katrain-tenuki,7.951960752053456,Byrdy,9.471435036648185,black,white,54.5 points,True
24657188,katrain-14k,15.795089687983738,freeyoshua,20.573679318328672,black,white,Resignation,True
